scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
1.0,0.75,glue-cola,glue-mnli,glue-sst2,glue-stsb,0.12655800575263662,0.109375,0.0,0.0,0.018050541516245487,0.7029816513761468,0.6681312633464702
0.0,1.0,glue-cola,glue-mnli,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-mnli,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-mnli,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,1.0,glue-cola,glue-mnli,glue-sst2,glue-stsb,0.007670182166826462,0.0,0.0,0.0,0.0,0.08142201834862385,
1.0,1.0,glue-cola,glue-mnli,glue-sst2,glue-stsb,0.19271332694151486,0.051875,0.0,0.0,0.0,0.6330275229357798,0.42937027955397367
0.0,0.25,glue-cola,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.25,glue-cola,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,0.25,glue-cola,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.5,glue-cola,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.5,glue-cola,glue-mrpc,glue-qqp,glue-rte,0.013422818791946308,0.0,0.004901960784313725,0.000625,0.0,0.0,
1.0,0.5,glue-cola,glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.30637254901960786,0.330625,0.0036101083032490976,0.0,
