scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.75,0.5,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-stsb,0.014381591562799617,0.0,0.0,0.0,0.032490974729241874,0.0,
1.0,0.5,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-stsb,0.2981783317353787,0.00875,0.0,0.0,0.4584837545126354,0.0,
0.0,0.75,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.75,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-stsb,0.014381591562799617,0.0,0.0,0.0,0.032490974729241874,0.0,
1.0,0.75,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-stsb,0.2981783317353787,0.00875,0.0,0.0,0.4584837545126354,0.0,
0.0,1.0,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,1.0,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-stsb,0.014381591562799617,0.0,0.0,0.0,0.032490974729241874,0.0,
1.0,1.0,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-stsb,0.2981783317353787,0.00875,0.0,0.0,0.4584837545126354,0.0,
0.0,0.25,glue-cola,glue-mnli,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mnli,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mnli,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.028669724770642203,
0.75,0.25,glue-cola,glue-mnli,glue-qqp,glue-sst2,glue-stsb,0.5455417066155321,0.01875,0.0,0.0,0.0,0.6376146788990825,
1.0,0.25,glue-cola,glue-mnli,glue-qqp,glue-sst2,glue-stsb,0.48322147651006714,0.221875,0.0,0.0,0.0,0.856651376146789,
0.0,0.5,glue-cola,glue-mnli,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-mnli,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mnli,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0022935779816513763,
0.75,0.5,glue-cola,glue-mnli,glue-qqp,glue-sst2,glue-stsb,0.0977948226270374,0.000625,0.0,0.0,0.0,0.24885321100917432,
1.0,0.5,glue-cola,glue-mnli,glue-qqp,glue-sst2,glue-stsb,0.5925215723873442,0.045,0.0,0.0,0.0,0.7993119266055045,
0.0,0.75,glue-cola,glue-mnli,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-mnli,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mnli,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0022935779816513763,
