scaling_factor,dataset:0,dataset:1,dataset:2,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.8500000000000001,DTD,EuroSAT,GTSRB,0.5484392488496456,0.48723404255319147,0.6577777777777778,0.4508313539192399,0.5073015873015873,0.6155667506297229,0.13652427781192378
0.9,DTD,EuroSAT,GTSRB,0.5489366994154956,0.48829787234042554,0.6718518518518518,0.4555027711797308,0.5085714285714286,0.61455919395466,0.1363322065150584
0.9500000000000001,DTD,EuroSAT,GTSRB,0.5474443477179455,0.48936170212765956,0.6840740740740741,0.45787806809184484,0.51,0.6126448362720402,0.13625537799631224
1.0,DTD,EuroSAT,GTSRB,0.5457032707374705,0.48723404255319147,0.692962962962963,0.46009501187648455,0.5103174603174603,0.6100251889168766,0.13529502151198525
0.0,DTD,EuroSAT,RESISC45,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.05,DTD,EuroSAT,RESISC45,0.5406044024375077,0.41117021276595744,0.24814814814814815,0.26706254948535235,0.46984126984126984,0.6144584382871536,0.0910417947141979
0.1,DTD,EuroSAT,RESISC45,0.5414749409277453,0.41914893617021276,0.29,0.26999208234362626,0.48793650793650795,0.616977329974811,0.09292409342347879
0.15000000000000002,DTD,EuroSAT,RESISC45,0.5440865563984579,0.42606382978723406,0.3181481481481481,0.2718923198733175,0.5071428571428571,0.618639798488665,0.09438383527965581
0.2,DTD,EuroSAT,RESISC45,0.5462007213033205,0.43670212765957445,0.3637037037037037,0.27220902612826603,0.5223809523809524,0.6203526448362721,0.09622771972956361
0.25,DTD,EuroSAT,RESISC45,0.5488123367740331,0.44680851063829785,0.4311111111111111,0.2718923198733175,0.5403174603174603,0.6224685138539043,0.09745697602950215
0.30000000000000004,DTD,EuroSAT,RESISC45,0.5481905235667206,0.45159574468085106,0.4685185185185185,0.27339667458432304,0.5542857142857143,0.6228211586901763,0.09860940381069452
0.35000000000000003,DTD,EuroSAT,RESISC45,0.5501803258301207,0.4595744680851064,0.49925925925925924,0.27608867775138557,0.5685714285714286,0.6242317380352644,0.0994161032575292
0.4,DTD,EuroSAT,RESISC45,0.5508021390374331,0.4675531914893617,0.5348148148148149,0.27838479809976246,0.5804761904761905,0.6245843828715365,0.10079901659496004
0.45,DTD,EuroSAT,RESISC45,0.5514239522447457,0.46914893617021275,0.56,0.27949326999208235,0.5898412698412698,0.6239798488664987,0.10222034419176398
0.5,DTD,EuroSAT,RESISC45,0.5517970401691332,0.475,0.597037037037037,0.27949326999208235,0.5987301587301588,0.6240302267002519,0.10333435771358328
0.55,DTD,EuroSAT,RESISC45,0.5515483148862081,0.475531914893617,0.6314814814814815,0.2796516231195566,0.6087301587301587,0.6232745591939547,0.10425629993853719
0.6000000000000001,DTD,EuroSAT,RESISC45,0.5504290511130456,0.4797872340425532,0.6674074074074074,0.28060174188440223,0.6153968253968254,0.6222166246851385,0.1053318992009834
0.65,DTD,EuroSAT,RESISC45,0.5509265016788957,0.4808510638297872,0.6966666666666667,0.28060174188440223,0.6177777777777778,0.6202015113350126,0.10686846957590658
0.7000000000000001,DTD,EuroSAT,RESISC45,0.5498072379057332,0.4829787234042553,0.7174074074074074,0.27988915281076804,0.6242857142857143,0.6190931989924433,0.10717578365089121
0.75,DTD,EuroSAT,RESISC45,0.5484392488496456,0.4856382978723404,0.7322222222222222,0.27830562153602534,0.6276190476190476,0.6166246851385391,0.10809772587584511
0.8,DTD,EuroSAT,RESISC45,0.5478174356423331,0.48351063829787233,0.74,0.2793349168646081,0.6303174603174603,0.6155163727959698,0.1084818684695759
0.8500000000000001,DTD,EuroSAT,RESISC45,0.5462007213033205,0.4819148936170213,0.7459259259259259,0.2784639746634996,0.6312698412698413,0.6118891687657431,0.1090580823601721
0.9,DTD,EuroSAT,RESISC45,0.5452058201716204,0.47819148936170214,0.7496296296296296,0.2793349168646081,0.6315873015873016,0.6079093198992443,0.10955746773202213
0.9500000000000001,DTD,EuroSAT,RESISC45,0.5440865563984579,0.4776595744680851,0.7488888888888889,0.27838479809976246,0.6326984126984126,0.6057934508816121,0.11024892440073755
1.0,DTD,EuroSAT,RESISC45,0.5430916552667578,0.47925531914893615,0.7433333333333333,0.27759303246239114,0.6333333333333333,0.6024685138539043,0.11028733866011063
0.0,DTD,EuroSAT,SUN397,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.05,DTD,EuroSAT,SUN397,0.5415993035692078,0.41117021276595744,0.24851851851851853,0.26817102137767224,0.4587301587301587,0.6165239294710327,0.09081130915795943
0.1,DTD,EuroSAT,SUN397,0.5435891058326079,0.41914893617021276,0.2796296296296296,0.27181314330958034,0.4677777777777778,0.6201511335012595,0.092539950829748
0.15000000000000002,DTD,EuroSAT,SUN397,0.546822534510633,0.425,0.31296296296296294,0.27339667458432304,0.4757142857142857,0.6245340050377833,0.09407652120467118
0.2,DTD,EuroSAT,SUN397,0.5485636114911081,0.4329787234042553,0.3674074074074074,0.27529691211401425,0.4847619047619048,0.6282115869017633,0.09599723417332513
0.25,DTD,EuroSAT,SUN397,0.5499316005471956,0.4398936170212766,0.4137037037037037,0.2762470308788599,0.4893650793650794,0.6326448362720403,0.09734173325138291
0.30000000000000004,DTD,EuroSAT,SUN397,0.5517970401691332,0.44361702127659575,0.4525925925925926,0.27838479809976246,0.4942857142857143,0.6353148614609572,0.09841733251382913
0.35000000000000003,DTD,EuroSAT,SUN397,0.5541599303569208,0.44893617021276594,0.47814814814814816,0.28091844813935074,0.4996825396825397,0.6378841309823677,0.09972341733251383
0.4,DTD,EuroSAT,SUN397,0.5557766446959334,0.4553191489361702,0.5066666666666667,0.28171021377672206,0.49984126984126986,0.6398488664987405,0.1008758451137062
0.45,DTD,EuroSAT,SUN397,0.5568959084690959,0.46063829787234045,0.5292592592592592,0.28210609659540775,0.5033333333333333,0.640654911838791,0.10252765826674862
0.5,DTD,EuroSAT,SUN397,0.5582638975251835,0.46702127659574466,0.5618518518518518,0.2836104513064133,0.5050793650793651,0.642015113350126,0.10337277197295636
0.55,DTD,EuroSAT,SUN397,0.559383161298346,0.4734042553191489,0.5940740740740741,0.2830562153602534,0.5093650793650794,0.6425692695214106,0.10471727105101414
0.6000000000000001,DTD,EuroSAT,SUN397,0.5600049745056584,0.47712765957446807,0.6237037037037036,0.28400633412509896,0.51,0.6437783375314862,0.10563921327596804
0.65,DTD,EuroSAT,SUN397,0.559880611864196,0.48351063829787233,0.6581481481481481,0.2845605700712589,0.5122222222222222,0.6443324937027708,0.10648432698217579
0.7000000000000001,DTD,EuroSAT,SUN397,0.559134436015421,0.48723404255319147,0.6933333333333334,0.28392715756136183,0.5146031746031746,0.6444836272040302,0.10725261216963737
0.75,DTD,EuroSAT,SUN397,0.559134436015421,0.48936170212765956,0.7225925925925926,0.2808392715756136,0.5160317460317461,0.6439798488664987,0.10763675476336816
0.8,DTD,EuroSAT,SUN397,0.5597562492227335,0.48617021276595745,0.7444444444444445,0.2784639746634996,0.5171428571428571,0.6422670025188917,0.10832821143208358
0.8500000000000001,DTD,EuroSAT,SUN397,0.5580151722422584,0.4851063829787234,0.7611111111111111,0.2773555027711797,0.5174603174603175,0.6404030226700251,0.10894283958205286
0.9,DTD,EuroSAT,SUN397,0.5582638975251835,0.4845744680851064,0.7718518518518519,0.2769596199524941,0.5155555555555555,0.638639798488665,0.10898125384142594
0.9500000000000001,DTD,EuroSAT,SUN397,0.5567715458276333,0.4909574468085106,0.78,0.2753760886777514,0.5122222222222222,0.6379848866498741,0.10898125384142594
1.0,DTD,EuroSAT,SUN397,0.5565228205447084,0.4930851063829787,0.7877777777777778,0.27410926365795724,0.5114285714285715,0.6365743073047859,0.10878918254456055
0.0,DTD,EuroSAT,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.05,DTD,EuroSAT,SVHN,0.5404800397960453,0.4106382978723404,0.24888888888888888,0.271021377672209,0.4568253968253968,0.6136523929471033,0.09880147510755993
0.1,DTD,EuroSAT,SVHN,0.5425942047009078,0.4148936170212766,0.2796296296296296,0.2761678543151227,0.4642857142857143,0.6152141057934509,0.11167025199754149
0.15000000000000002,DTD,EuroSAT,SVHN,0.5440865563984579,0.42446808510638295,0.31851851851851853,0.2788598574821853,0.4734920634920635,0.6170277078085642,0.12718961278426552
0.2,DTD,EuroSAT,SVHN,0.545330182813083,0.4319148936170213,0.3774074074074074,0.2824228028503563,0.4811111111111111,0.6184382871536523,0.14900891210817455
0.25,DTD,EuroSAT,SVHN,0.5484392488496456,0.43882978723404253,0.42074074074074075,0.2852731591448931,0.4882539682539683,0.6204534005037783,0.1785878918254456
0.30000000000000004,DTD,EuroSAT,SVHN,0.5494341499813457,0.4420212765957447,0.4562962962962963,0.2886777513855899,0.4911111111111111,0.6211083123425692,0.21969114935464043
0.35000000000000003,DTD,EuroSAT,SVHN,0.5499316005471956,0.44680851063829785,0.47703703703703704,0.2922406967537609,0.49396825396825395,0.6215617128463476,0.27320221266133987
0.4,DTD,EuroSAT,SVHN,0.5519214028105957,0.45585106382978724,0.5003703703703704,0.2943784639746635,0.49777777777777776,0.6222166246851385,0.33892901044867857
0.45,DTD,EuroSAT,SVHN,0.5517970401691332,0.46117021276595743,0.5181481481481481,0.2950910530482977,0.4996825396825397,0.6231234256926952,0.40788260602335585
0.5,DTD,EuroSAT,SVHN,0.5521701280935207,0.4696808510638298,0.5359259259259259,0.29501187648456056,0.5038095238095238,0.6225692695214106,0.47360940381069455
0.55,DTD,EuroSAT,SVHN,0.5534137545081458,0.47606382978723405,0.554074074074074,0.29469517022961206,0.5044444444444445,0.6220654911838791,0.5349953902888752
0.6000000000000001,DTD,EuroSAT,SVHN,0.5522944907349832,0.4734042553191489,0.5711111111111111,0.29422011084718924,0.506984126984127,0.6215617128463476,0.5800937307928703
0.65,DTD,EuroSAT,SVHN,0.5520457654520582,0.4765957446808511,0.5855555555555556,0.29334916864608074,0.5107936507936508,0.6206045340050378,0.6168945912722803
